label,kernel,rep,ns_per_call
generic-ooo,load_add_chain,0,7938.805
generic-ooo,load_add_chain,1,7744.629
generic-ooo,load_add_chain,2,7833.820
generic-ooo,load_add_chain,3,7743.164
generic-ooo,load_add_chain,4,7849.609
generic-ooo,load_add_chain,5,10211.266
generic-ooo,load_add_chain,6,7832.031
generic-ooo,load_add_chain,7,7741.863
generic-ooo,load_add_chain,8,7802.410
generic-ooo,load_add_chain,9,7745.441
generic-ooo,load_add_chain,10,7938.152
generic-ooo,fma_chain,0,21801.758
generic-ooo,fma_chain,1,21737.793
generic-ooo,fma_chain,2,21834.148
generic-ooo,fma_chain,3,21759.926
generic-ooo,fma_chain,4,21711.750
generic-ooo,fma_chain,5,21700.848
generic-ooo,fma_chain,6,21673.828
generic-ooo,fma_chain,7,21685.059
generic-ooo,fma_chain,8,21530.598
generic-ooo,fma_chain,9,21700.031
generic-ooo,fma_chain,10,24198.570
generic-ooo,div_mix,0,38084.145
generic-ooo,div_mix,1,37915.852
generic-ooo,div_mix,2,37949.383
generic-ooo,div_mix,3,38053.875
generic-ooo,div_mix,4,37909.828
generic-ooo,div_mix,5,37940.918
generic-ooo,div_mix,6,37990.070
generic-ooo,div_mix,7,37981.609
generic-ooo,div_mix,8,37904.949
generic-ooo,div_mix,9,37959.801
generic-ooo,div_mix,10,37988.934
generic-ooo,sh1add,0,10654.133
generic-ooo,sh1add,1,10648.762
generic-ooo,sh1add,2,10642.902
generic-ooo,sh1add,3,10622.559
generic-ooo,sh1add,4,10620.277
generic-ooo,sh1add,5,10660.969
generic-ooo,sh1add,6,10598.633
generic-ooo,sh1add,7,10643.719
generic-ooo,sh1add,8,10634.766
generic-ooo,sh1add,9,10602.215
generic-ooo,sh1add,10,10637.043
x60,load_add_chain,0,7752.117
x60,load_add_chain,1,7749.188
x60,load_add_chain,2,7859.375
x60,load_add_chain,3,7745.930
x60,load_add_chain,4,7880.535
x60,load_add_chain,5,7746.746
x60,load_add_chain,6,7825.031
