label,kernel,rep,ns_per_call
x60,load_add_chain,7,7748.047
x60,load_add_chain,8,7861.000
x60,load_add_chain,9,7748.859
x60,load_add_chain,10,7826.500
x60,fma_chain,0,19997.395
x60,fma_chain,1,19977.051
x60,fma_chain,2,20579.590
x60,fma_chain,3,20109.863
x60,fma_chain,4,20091.797
x60,fma_chain,5,22222.492
x60,fma_chain,6,20416.180
x60,fma_chain,7,20447.590
x60,fma_chain,8,27480.957
x60,fma_chain,9,20363.605
x60,fma_chain,10,20619.141
x60,div_mix,0,35497.559
x60,div_mix,1,35431.805
x60,div_mix,2,35368.652
x60,div_mix,3,35445.637
x60,div_mix,4,35398.273
x60,div_mix,5,35419.598
x60,div_mix,6,35387.207
x60,div_mix,7,35347.332
x60,div_mix,8,35346.516
x60,div_mix,9,35401.855
x60,div_mix,10,35366.211
x60,sh1add,0,10605.309
x60,sh1add,1,10625.324
x60,sh1add,2,10635.090
x60,sh1add,3,10568.684
x60,sh1add,4,11323.730
x60,sh1add,5,10627.441
x60,sh1add,6,10581.055
x60,sh1add,7,10646.973
x60,sh1add,8,10601.562
x60,sh1add,9,10584.801
x60,sh1add,10,10615.074
default-tune,load_add_chain,0,7755.371
default-tune,load_add_chain,1,7904.133
default-tune,load_add_chain,2,7745.277
default-tune,load_add_chain,3,7852.863
default-tune,load_add_chain,4,7745.281
default-tune,load_add_chain,5,7815.918
default-tune,load_add_chain,6,7742.352
default-tune,load_add_chain,7,7812.012
default-tune,load_add_chain,8,7743.812
default-tune,load_add_chain,9,7801.434
default-tune,load_add_chain,10,7743.328
default-tune,fma_chain,0,21810.383
default-tune,fma_chain,1,22081.707
default-tune,fma_chain,2,21863.605
default-tune,fma_chain,3,21869.953
default-tune,fma_chain,4,21922.199
default-tune,fma_chain,5,21797.688
default-tune,fma_chain,6,21936.523
default-tune,fma_chain,7,21847.492
default-tune,fma_chain,8,21742.512
default-tune,fma_chain,9,21788.738
default-tune,fma_chain,10,21763.344
default-tune,div_mix,0,38013.512
default-tune,div_mix,1,37993.652
default-tune,div_mix,2,37904.621
default-tune,div_mix,3,37925.453
default-tune,div_mix,4,37945.801
default-tune,div_mix,5,37894.859
default-tune,div_mix,6,37955.566
default-tune,div_mix,7,37898.602
default-tune,div_mix,8,37948.730
default-tune,div_mix,9,37925.129
default-tune,div_mix,10,37919.434
default-tune,sh1add,0,10558.594
default-tune,sh1add,1,10472.328
default-tune,sh1add,2,10509.930
default-tune,sh1add,3,10502.117
default-tune,sh1add,4,10479.328
default-tune,sh1add,5,10525.066
default-tune,sh1add,6,10526.531
default-tune,sh1add,7,10491.051
default-tune,sh1add,8,10537.109
default-tune,sh1add,9,10529.785
default-tune,sh1add,10,10513.996
eessi-14.3,load_add_chain,0,7743.328
eessi-14.3,load_add_chain,1,7910.156
eessi-14.3,load_add_chain,2,7741.863
eessi-14.3,load_add_chain,3,7932.293
eessi-14.3,load_add_chain,4,7757.977
eessi-14.3,load_add_chain,5,7833.496
eessi-14.3,load_add_chain,6,7752.277
eessi-14.3,load_add_chain,7,7809.570
eessi-14.3,load_add_chain,8,7749.836
eessi-14.3,load_add_chain,9,7951.172
eessi-14.3,load_add_chain,10,7748.211
eessi-14.3,fma_chain,0,21716.148
eessi-14.3,fma_chain,1,21690.918
eessi-14.3,fma_chain,2,21804.523
eessi-14.3,fma_chain,3,21704.914
eessi-14.3,fma_chain,4,21736.980
eessi-14.3,fma_chain,5,21645.836
eessi-14.3,fma_chain,6,21669.594
eessi-14.3,fma_chain,7,21724.770
eessi-14.3,fma_chain,8,21696.941
eessi-14.3,fma_chain,9,21741.863
eessi-14.3,fma_chain,10,21667.152
eessi-14.3,div_mix,0,38000.816
eessi-14.3,div_mix,1,37914.227
eessi-14.3,div_mix,2,38022.785
eessi-14.3,div_mix,3,38000.977
eessi-14.3,div_mix,4,37980.957
eessi-14.3,div_mix,5,37901.691
eessi-14.3,div_mix,6,37983.074
eessi-14.3,div_mix,7,37958.168
eessi-14.3,div_mix,8,37928.059
eessi-14.3,div_mix,9,37967.121
eessi-14.3,div_mix,10,37929.199
eessi-14.3,sh1add,0,10551.109
eessi-14.3,sh1add,1,10564.613
eessi-14.3,sh1add,2,10582.031
eessi-14.3,sh1add,3,10567.707
eessi-14.3,sh1add,4,10534.996
eessi-14.3,sh1add,5,10559.082
eessi-14.3,sh1add,6,10582.684
eessi-14.3,sh1add,7,10540.527
eessi-14.3,sh1add,8,10588.215
eessi-14.3,sh1add,9,10606.934
eessi-14.3,sh1add,10,10550.945
generic-ooo,load_add_chain,0,7750.812
generic-ooo,load_add_chain,1,7861.492
generic-ooo,load_add_chain,2,7748.695
generic-ooo,load_add_chain,3,7826.332
generic-ooo,load_add_chain,4,7747.719
generic-ooo,load_add_chain,5,7814.129
generic-ooo,load_add_chain,6,7750.164
generic-ooo,load_add_chain,7,7815.918
generic-ooo,load_add_chain,8,7746.582
generic-ooo,load_add_chain,9,7806.801
generic-ooo,load_add_chain,10,7750.164
generic-ooo,fma_chain,0,21786.945
generic-ooo,fma_chain,1,21871.906
generic-ooo,fma_chain,2,22032.391
generic-ooo,fma_chain,3,21998.699
generic-ooo,fma_chain,4,22006.836
generic-ooo,fma_chain,5,21940.758
generic-ooo,fma_chain,6,21799.152
generic-ooo,fma_chain,7,21868.000
generic-ooo,fma_chain,8,21859.539
generic-ooo,fma_chain,9,21955.891
generic-ooo,fma_chain,10,21959.312
generic-ooo,div_mix,0,37943.523
generic-ooo,div_mix,1,37917.805
generic-ooo,div_mix,2,37955.730
generic-ooo,div_mix,3,37905.926
generic-ooo,div_mix,4,37952.637
generic-ooo,div_mix,5,37919.594
generic-ooo,div_mix,6,37947.754
generic-ooo,div_mix,7,37913.410
generic-ooo,div_mix,8,37913.410
generic-ooo,div_mix,9,37998.211
generic-ooo,div_mix,10,37899.902
generic-ooo,sh1add,0,10620.441
generic-ooo,sh1add,1,10567.711
generic-ooo,sh1add,2,10591.469
generic-ooo,sh1add,3,10588.215
generic-ooo,sh1add,4,10544.922
generic-ooo,sh1add,5,10618.324
generic-ooo,sh1add,6,10587.402
generic-ooo,sh1add,7,10546.711
generic-ooo,sh1add,8,10582.680
generic-ooo,sh1add,9,10576.500
generic-ooo,sh1add,10,10557.617
x60,load_add_chain,0,7761.555
x60,load_add_chain,1,7899.250
x60,load_add_chain,2,7746.906
x60,load_add_chain,3,7859.539
x60,load_add_chain,4,7742.840
x60,load_add_chain,5,7874.512
x60,load_add_chain,6,7744.629
x60,load_add_chain,7,7814.289
x60,load_add_chain,8,7742.188
x60,load_add_chain,9,7808.758
x60,load_add_chain,10,7743.816
x60,fma_chain,0,20719.566
x60,fma_chain,1,20424.969
x60,fma_chain,2,20628.258
x60,fma_chain,3,20555.500
x60,fma_chain,4,20576.660
x60,fma_chain,5,20644.207
x60,fma_chain,6,20490.398
x60,fma_chain,7,20399.578
x60,fma_chain,8,20109.863
x60,fma_chain,9,20700.684
x60,fma_chain,10,20530.762
x60,div_mix,0,35397.789
x60,div_mix,1,35523.598
x60,div_mix,2,35343.098
x60,div_mix,3,35379.234
x60,div_mix,4,35369.305
x60,div_mix,5,35341.797
x60,div_mix,6,35488.934
x60,div_mix,7,35449.707
x60,div_mix,8,35355.797
x60,div_mix,9,35361.492
x60,div_mix,10,35335.938
x60,sh1add,0,10550.453
x60,sh1add,1,10478.676
x60,sh1add,2,10492.840
x60,sh1add,3,10537.922
x60,sh1add,4,10455.566
x60,sh1add,5,10502.281
x60,sh1add,6,10511.555
x60,sh1add,7,10493.488
x60,sh1add,8,10459.148
x60,sh1add,9,10487.957
x60,sh1add,10,10492.348
default-tune,load_add_chain,0,7916.664
default-tune,load_add_chain,1,7756.672
default-tune,load_add_chain,2,7886.559
default-tune,load_add_chain,3,7749.840
default-tune,load_add_chain,4,7861.000
default-tune,load_add_chain,5,7746.582
default-tune,load_add_chain,6,8288.086
default-tune,load_add_chain,7,7744.953
default-tune,load_add_chain,8,7848.469
default-tune,load_add_chain,9,7744.305
default-tune,load_add_chain,10,7811.523
default-tune,fma_chain,0,21919.594
default-tune,fma_chain,1,21919.434
default-tune,fma_chain,2,21961.098
default-tune,fma_chain,3,21896.812
default-tune,fma_chain,4,21919.922
default-tune,fma_chain,5,22136.070
default-tune,fma_chain,6,21836.426
default-tune,fma_chain,7,21828.125
default-tune,fma_chain,8,21983.727
default-tune,fma_chain,9,21938.641
default-tune,fma_chain,10,21928.387
default-tune,div_mix,0,37897.785
default-tune,div_mix,1,38011.066
default-tune,div_mix,2,37902.508
default-tune,div_mix,3,37947.266
default-tune,div_mix,4,37967.445
default-tune,div_mix,5,38168.617
default-tune,div_mix,6,37914.387
default-tune,div_mix,7,37902.668
default-tune,div_mix,8,37972.008
default-tune,div_mix,9,37910.316
default-tune,div_mix,10,37960.121
default-tune,sh1add,0,11361.492
default-tune,sh1add,1,10721.844
default-tune,sh1add,2,10708.656
default-tune,sh1add,3,10657.391
default-tune,sh1add,4,10708.008
default-tune,sh1add,5,10694.660
default-tune,sh1add,6,10661.949
default-tune,sh1add,7,10695.477
default-tune,sh1add,8,10691.566
default-tune,sh1add,9,10651.367
default-tune,sh1add,10,10677.082
eessi-14.3,load_add_chain,0,7899.250
eessi-14.3,load_add_chain,1,7745.770
eessi-14.3,load_add_chain,2,7834.148
eessi-14.3,load_add_chain,3,7741.863
eessi-14.3,load_add_chain,4,7804.363
eessi-14.3,load_add_chain,5,7743.980
eessi-14.3,load_add_chain,6,7958.332
eessi-14.3,load_add_chain,7,7748.859
eessi-14.3,load_add_chain,8,7815.918
eessi-14.3,load_add_chain,9,7743.816
eessi-14.3,load_add_chain,10,7846.355
eessi-14.3,fma_chain,0,21920.738
eessi-14.3,fma_chain,1,21843.910
eessi-14.3,fma_chain,2,21861.816
eessi-14.3,fma_chain,3,21972.332
eessi-14.3,fma_chain,4,21694.336
eessi-14.3,fma_chain,5,21813.965
eessi-14.3,fma_chain,6,21728.027
eessi-14.3,fma_chain,7,21581.219
eessi-14.3,fma_chain,8,21765.789
eessi-14.3,fma_chain,9,21846.520
eessi-14.3,fma_chain,10,21840.332
eessi-14.3,div_mix,0,37970.867
eessi-14.3,div_mix,1,37901.527
eessi-14.3,div_mix,2,37901.367
eessi-14.3,div_mix,3,37974.770
eessi-14.3,div_mix,4,37896.320
eessi-14.3,div_mix,5,38161.133
eessi-14.3,div_mix,6,37923.016
eessi-14.3,div_mix,7,37962.238
eessi-14.3,div_mix,8,54293.621
eessi-14.3,div_mix,9,37932.777
eessi-14.3,div_mix,10,37986.816
eessi-14.3,sh1add,0,10674.316
eessi-14.3,sh1add,1,10686.523
eessi-14.3,sh1add,2,10668.945
eessi-14.3,sh1add,3,10646.645
eessi-14.3,sh1add,4,10658.039
eessi-14.3,sh1add,5,10658.363
eessi-14.3,sh1add,6,10673.828
eessi-14.3,sh1add,7,10652.832
eessi-14.3,sh1add,8,10723.309
eessi-14.3,sh1add,9,10652.508
eessi-14.3,sh1add,10,10705.078
