kernel,label,mean_ns,stdev_ns,median_ns,min_ns,max_ns,delta_pct_vs_generic-ooo,n
load_add_chain,generic-ooo,7934.644863636364,189.05427707137576,7917.3165,7742.027,8380.859,0.0,22
load_add_chain,x60,7826.956045454545,136.5836959315832,7776.691500000001,7740.398,8287.109,-1.3571977074279022,22
load_add_chain,default-tune,7833.918318181818,143.4071753237002,7807.7815,7746.422,8393.23,-1.2694524731177947,22
load_add_chain,eessi-14.3,7903.7495,402.0353416744723,7807.293,7742.348,9602.539,-0.3893729860293327,22
fma_chain,generic-ooo,22282.189863636362,729.6174924647846,22295.4925,21366.051,23375.488,0.0,22
fma_chain,x60,20350.023272727274,221.89077860261452,20406.6565,19790.688,20691.246,-8.671349641725772,22
fma_chain,default-tune,21536.221454545455,145.09484503025908,21544.841999999997,21238.93,21745.117,-3.347823592098088,22
fma_chain,eessi-14.3,21857.444,112.16174446965505,21847.494,21670.898,22106.77,-1.906212388619535,22
div_mix,generic-ooo,38331.343045454545,828.3605878574106,37978.842000000004,37912.762,40841.309,0.0,22
div_mix,x60,35392.778,59.58133964669738,35373.8615,35333.008,35572.914,-7.666219892086487,22
div_mix,default-tune,37942.448954545456,42.371518780423216,37935.87300000001,37890.301,38036.133,-1.0145590005753924,22
div_mix,eessi-14.3,37961.86963636363,78.05256291362436,37944.5,37888.508,38207.031,-0.9638937217847492,22
sh1add,generic-ooo,10646.802227272727,42.16483743926013,10639.8925,10593.262,10771.484,0.0,22
sh1add,x60,10545.232818181817,76.04980395869423,10559.0,10445.477,10713.703,-0.9539898170619732,22
sh1add,default-tune,10567.175727272728,136.69741326015392,10612.3025,10383.789,10758.789,-0.7478912287487425,22
sh1add,eessi-14.3,10668.871090909091,158.55296012070863,10722.166000000001,10485.676,11071.289,0.20728161531763425,22
