N,ooo_mean_gflops,x60_mean_gflops,delta_pct,ooo_best_gflops,x60_best_gflops,n_runs
512,2.2237,2.2725,2.194,2.2353,2.2771,2
1024,2.2746,2.3258,2.251,2.2774,2.3303,2
2048,2.2959,2.3830,3.790,2.2966,2.3842,2
