label,kernel,rep,ns_per_call
eessi-14.3,sh1add,7,10562.012
eessi-14.3,sh1add,8,10494.301
eessi-14.3,sh1add,9,10512.859
eessi-14.3,sh1add,10,10528.969
generic-ooo,load_add_chain,0,7753.746
generic-ooo,load_add_chain,1,8096.680
generic-ooo,load_add_chain,2,7747.883
generic-ooo,load_add_chain,3,8043.129
generic-ooo,load_add_chain,4,7745.281
generic-ooo,load_add_chain,5,7816.570
generic-ooo,load_add_chain,6,7743.652
generic-ooo,load_add_chain,7,7812.340
generic-ooo,load_add_chain,8,7746.418
generic-ooo,load_add_chain,9,7986.980
generic-ooo,load_add_chain,10,7742.516
generic-ooo,fma_chain,0,21488.770
generic-ooo,fma_chain,1,21767.902
generic-ooo,fma_chain,2,21544.105
generic-ooo,fma_chain,3,21546.387
generic-ooo,fma_chain,4,21595.051
generic-ooo,fma_chain,5,21366.051
generic-ooo,fma_chain,6,21728.680
generic-ooo,fma_chain,7,21434.895
generic-ooo,fma_chain,8,21554.688
generic-ooo,fma_chain,9,21562.664
generic-ooo,fma_chain,10,21912.762
generic-ooo,div_mix,0,37917.809
generic-ooo,div_mix,1,38066.242
generic-ooo,div_mix,2,37954.426
generic-ooo,div_mix,3,37964.191
generic-ooo,div_mix,4,37972.492
generic-ooo,div_mix,5,37973.957
generic-ooo,div_mix,6,38044.434
generic-ooo,div_mix,7,37936.035
generic-ooo,div_mix,8,37913.734
generic-ooo,div_mix,9,37945.477
generic-ooo,div_mix,10,37991.859
generic-ooo,sh1add,0,10695.965
generic-ooo,sh1add,1,10603.676
generic-ooo,sh1add,2,10661.621
generic-ooo,sh1add,3,10659.016
generic-ooo,sh1add,4,10614.094
generic-ooo,sh1add,5,10645.508
generic-ooo,sh1add,6,10648.762
generic-ooo,sh1add,7,10604.980
generic-ooo,sh1add,8,10674.805
generic-ooo,sh1add,9,10631.188
generic-ooo,sh1add,10,10593.262
x60,load_add_chain,0,8135.418
x60,load_add_chain,1,7746.422
x60,load_add_chain,2,7865.398
x60,load_add_chain,3,7750.000
x60,load_add_chain,4,7815.105
x60,load_add_chain,5,7750.160
x60,load_add_chain,6,7806.477
x60,load_add_chain,7,7750.812
x60,load_add_chain,8,7932.617
x60,load_add_chain,9,7750.977
x60,load_add_chain,10,7842.934
x60,fma_chain,0,19864.418
x60,fma_chain,1,20560.871
x60,fma_chain,2,20265.785
x60,fma_chain,3,20436.848
x60,fma_chain,4,20691.246
x60,fma_chain,5,20496.742
x60,fma_chain,6,20508.465
x60,fma_chain,7,20463.051
